,0,big,small
0,神田,,
1,御茶ノ水,,
2,水道橋,○,
3,飯田橋,○,
4,市ヶ谷,,
5,四ツ谷,,
6,信濃町,,
7,千駄ヶ谷,,
8,代々木,○,
9,新宿,○,
10,大久保,,
11,東中野,,
12,中野,○,
13,高円寺,,
14,阿佐ヶ谷,,
15,荻窪,○,
16,西荻窪,,
17,吉祥寺,,
18,三鷹,,
19,武蔵境,,
20,東小金井,○,
21,武蔵小金井,,
22,国分寺,○,
23,西国分寺,,
24,国立,,
25,立川,○,
26,日野,,
27,豊田,,
28,八王子,○,
29,西八王子,,
30,高尾,,
31,相模湖,,
32,藤野,,
33,上野原,,
34,四方津,,
35,梁川,,
36,鳥沢,,
37,猿橋,,
38,大月,,
39,初狩,,
40,笹子,,
41,甲斐大和,,
42,勝沼ぶどう郷,,
43,塩山,,
44,東山梨,,
45,山梨市,,
46,春日居町,,
47,石和温泉,,
48,酒折,,
49,甲府,,
50,竜王,,
51,塩崎,,
52,韮崎,,
53,新府,,
54,穴山,,
55,日野春,,
56,長坂,,
57,小淵沢,,
58,信濃境,,
59,富士見,,
60,すずらんの里,,
61,青柳,,
62,茅野,,
63,上諏訪,,
64,下諏訪,,
65,岡谷,,
66,川岸,,
67,辰野,,
68,信濃川島,,
69,小野,,
70,塩尻,,
71,みどり湖,,